"Transaction Hash","Blockno","UnixTimestamp","DateTime (UTC)","From","To","TokenValue","USDValueDayOfTx","ContractAddress","TokenName","TokenSymbol"
"0x74c35cbac57f69043a5333b98dc796dd9874f733b7edde7569dfa2b67d2118f8","24497906","1735785159","2025-01-02 02:32:39","0xafdcd251abc83856e9f9ea319a46168c30429945","0xb7dbb38ce5908820fd7150c55419386d97dd4732","50,000","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0x2c109358be94fb75d02464cefcc0c59049dcd1ed36dbdce14271d6092fc262c9","24498271","1735785889","2025-01-02 02:44:49","0x1005fdae76e9a9cc53901d5ff42c1b6a5f267800","0xb7dbb38ce5908820fd7150c55419386d97dd4732","148,462","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0xef503f1034d75878a2e01265500d92706a0eeb18290aad8abebea817a50c7c5a","24498397","1735786141","2025-01-02 02:49:01","0x4a3984a908a2510cf2537e9ab62440228054e443","0xb7dbb38ce5908820fd7150c55419386d97dd4732","2,500","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0x574c1d933252c79814848a9cb187d8a63cd7a32ab79058baccc52a0d94d6bf5b","24499951","1735789249","2025-01-02 03:40:49","0xafdcd251abc83856e9f9ea319a46168c30429945","0xb7dbb38ce5908820fd7150c55419386d97dd4732","101,082","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0xb303d018b147e090632b059cf0c11eb4b072188535f9fc113b72a85556034642","24505650","1735800647","2025-01-02 06:50:47","0xc7b776d3ae848a2e0e4e82d3471e6603980b0d09","0xb7dbb38ce5908820fd7150c55419386d97dd4732","7,935","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0xb48e016f8f9ca3d0000e316f2ca501b98fdd7cb1a65be2d8accfb039461af7f3","24508468","1735806283","2025-01-02 08:24:43","0xafdcd251abc83856e9f9ea319a46168c30429945","0xb7dbb38ce5908820fd7150c55419386d97dd4732","50,000","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0x09d8cdeeb66c59f8f2323c3c5a3674075b4dbd427aa4289eeec0edd814d7f2cc","24520316","1735829979","2025-01-02 14:59:39","0x84c0588406f6488e63ca819b8255598db0dcf238","0xb7dbb38ce5908820fd7150c55419386d97dd4732","1,217.511592937069521351","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0x09d8cdeeb66c59f8f2323c3c5a3674075b4dbd427aa4289eeec0edd814d7f2cc","24520316","1735829979","2025-01-02 14:59:39","0xb7dbb38ce5908820fd7150c55419386d97dd4732","0xef13117e11d92b709b159cae18ab7d6e7494c8df","1,217.511592937069521351","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0x065bae42e175b50b98217264ddd473018a0871e1c901976d10537ec53d12fc04","24520320","1735829987","2025-01-02 14:59:47","0x38c2527031c96a4c28bd009ea12c939db3c824f8","0xb7dbb38ce5908820fd7150c55419386d97dd4732","1,573.195714110309849792","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0x065bae42e175b50b98217264ddd473018a0871e1c901976d10537ec53d12fc04","24520320","1735829987","2025-01-02 14:59:47","0xb7dbb38ce5908820fd7150c55419386d97dd4732","0xef13117e11d92b709b159cae18ab7d6e7494c8df","1,573.195714110309849792","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0x88bb9fa3775af200f9beb0560b27f275b0a6f97befa982283d2db5e1f69b21d9","24520322","1735829991","2025-01-02 14:59:51","0x84c0588406f6488e63ca819b8255598db0dcf238","0xb7dbb38ce5908820fd7150c55419386d97dd4732","5,478.802168216812846081","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0x88bb9fa3775af200f9beb0560b27f275b0a6f97befa982283d2db5e1f69b21d9","24520322","1735829991","2025-01-02 14:59:51","0xb7dbb38ce5908820fd7150c55419386d97dd4732","0xef13117e11d92b709b159cae18ab7d6e7494c8df","5,478.802168216812846081","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0x80390ac8a813ea3d5eb717cebfc8790bc05ba9b68b9bc2313efa070d1e4afd48","24520351","1735830049","2025-01-02 15:00:49","0x7ad4768e2e1a64410436aeed8b3645655fc03f5f","0xb7dbb38ce5908820fd7150c55419386d97dd4732","1,957.303144632305106504","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0x80390ac8a813ea3d5eb717cebfc8790bc05ba9b68b9bc2313efa070d1e4afd48","24520351","1735830049","2025-01-02 15:00:49","0xb7dbb38ce5908820fd7150c55419386d97dd4732","0xef13117e11d92b709b159cae18ab7d6e7494c8df","1,957.303144632305106504","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0xb8787aae18dd5237b45eaa37c4a7d745903e9a394cabab5a0f6ebacf83af1a29","24520353","1735830053","2025-01-02 15:00:53","0x75fc63d5b2b423d1112b4699657ea21d267bf8bf","0xb7dbb38ce5908820fd7150c55419386d97dd4732","106.070025673057694737","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
"0xb8787aae18dd5237b45eaa37c4a7d745903e9a394cabab5a0f6ebacf83af1a29","24520353","1735830053","2025-01-02 15:00:53","0xb7dbb38ce5908820fd7150c55419386d97dd4732","0xef13117e11d92b709b159cae18ab7d6e7494c8df","106.070025673057694737","N/A","0xb7dbb38ce5908820fd7150c55419386d97dd4732","ERC-20: Agent Volas","AVOLAS"
